Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6671980165622451,0.5693881376075631,0.661109000956116,0.36644364384971695,0.2885555094754684,0.661109000956116,0
1,0.6028564197547508,0.47687166959330984,0.7452978969129946,0.40807784869728997,0.2040065634072017,0.7452978969129946,0
2,0.5861596352223194,0.49741144993489933,0.7250320797175536,0.40731303920253903,0.2390775167240664,0.7452978969129946,1
3,0.5827193811084285,0.46822887846653655,0.6962620453421902,0.35411216016380387,0.20476387962278442,0.7452978969129946,2
4,0.570954013502959,0.4680246952211982,0.6684987991811486,0.29260612167779315,0.2025279936529688,0.7452978969129946,3
5,0.5747169461665731,0.5429798901480799,0.7117499599341975,0.3843145934779401,0.3009430390017851,0.7452978969129946,4
6,0.5724153112281453,0.7191023410832226,0.720163428282045,0.3580416878004009,0.47925494509457434,0.7452978969129946,5
7,0.57104849612171,0.48270931190569066,0.7362088176919224,0.38687157169409314,0.24387385275609008,0.7452978969129946,6
8,0.5402622211611632,0.5440556448804392,0.7119558556805126,0.37254971214636384,0.32032672785300853,0.7452978969129946,7
9,0.5397146895076289,0.42530212044527305,0.7019545613487159,0.28263169028982443,0.18343280621720548,0.7452978969129946,8
10,0.5350542842890277,0.5022488935790255,0.7487270711276237,0.4143965154930654,0.2763663246722804,0.7487270711276237,0
11,0.5407676717097109,0.5028685083699297,0.7185241262556408,0.4088364481956765,0.24753421446473967,0.7487270711276237,1
12,0.5284924527460878,0.4942071880466424,0.752145472882004,0.4338815048434332,0.27187652139418306,0.752145472882004,0
13,0.5184128221237299,0.43527665004547994,0.7487496569527362,0.4130248500428449,0.2099749364395319,0.752145472882004,1
14,0.5004932930072149,0.5146008630924754,0.6970375999054835,0.374544142988819,0.2814150994428316,0.752145472882004,2
15,0.513900792056864,0.44300870021727873,0.6990765503395792,0.3289898386132696,0.20241980562217132,0.752145472882004,3
16,0.5182765198476387,0.501286872805378,0.7112897140308914,0.3710009611423864,0.24780468454173354,0.752145472882004,4
17,0.4969123853652766,0.5001906779039204,0.7563418756263629,0.4014678326046221,0.27645648136461165,0.7563418756263629,0
18,0.49757514069929265,0.5020288555778913,0.7637350986080832,0.43159445004263236,0.2644476099460863,0.7637350986080832,0
19,0.4941574143189372,0.4079778154023365,0.75215834640521,0.35209595801836696,0.18700301123352392,0.7637350986080832,1
20,0.49958577808557136,0.43313673291968036,0.7504268539239227,0.3781009409751925,0.19663174597450372,0.7637350986080832,2
21,0.47524128052772896,0.4360213562638075,0.7604516666832329,0.3814026792750197,0.212319010440145,0.7637350986080832,3
22,0.47469630205270014,0.43644868081743826,0.7262056352915233,0.35505463699296297,0.2032672785300853,0.7637350986080832,4
23,0.4660724636280175,0.4161923779465199,0.7238504905259991,0.29912875121006777,0.18276564669395412,0.7637350986080832,5
24,0.46152930797049496,0.5438011651974196,0.7430632732582555,0.39129155634010004,0.29845471429344195,0.7637350986080832,6
25,0.4401088797233321,0.4437938848277512,0.7331717456273643,0.33653309521151914,0.21435655168683176,0.7637350986080832,7
26,0.4278897163317059,0.48637826218264596,0.7364567768149123,0.36967090501121913,0.2431345678789737,0.7637350986080832,8
27,0.4227061324724645,0.4500614139095021,0.755935774813415,0.3864309798712578,0.2165563749797147,0.7637350986080832,9
28,0.427840769855362,0.4956105797747282,0.7532297043996956,0.40810208975676604,0.24922916028056763,0.7637350986080832,10
29,0.4105111936276609,0.42712633317100857,0.7388338407452522,0.3206443088152017,0.19468436142014822,0.7637350986080832,11
30,0.40072730443242827,0.518259052587445,0.7421790157624728,0.40115091113798423,0.2589480517138787,0.7637350986080832,12
31,0.406070057415601,0.4920844153765685,0.7507665317854846,0.4053457895419748,0.24791287257253103,0.7637350986080832,13
32,0.3841007351875305,0.49871548556386314,0.7360549840233778,0.3898772460416296,0.24735390108007715,0.7637350986080832,14
33,0.3830346670566183,0.4840020353426344,0.7420929804834355,0.388601273651899,0.24062821183216432,0.7637350986080832,15
