Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.764,0.363,0.432,0.304,0.264,0.69,0.33,0.624,0.432,0.502
test,0.785,0.418,0.468,0.329,0.288,0.704,0.354,0.691,0.472,0.417
caid3/binding,0.896,0.7,0.528,0.445,0.246,0.788,0.386,0.837,0.599,0.7
caid3/binding_idr,0.482,0.37,0.489,-0.024,0.557,0.489,0.379,0.691,0.561,0.048
