Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.791,0.413,0.448,0.335,0.192,0.681,0.408,0.496,0.46,0.402
test,0.784,0.419,0.445,0.301,0.246,0.67,0.38,0.538,0.458,0.273
caid3/binding,0.883,0.657,0.556,0.465,0.192,0.779,0.447,0.735,0.582,0.615
caid3/binding_idr,0.53,0.413,0.496,0.074,0.479,0.538,0.418,0.611,0.56,0.007
