Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6915664907159477,0.5007788445452752,0.7654864975817495,0.4776352937174734,0.2789645776566757,0.7654864975817495,0
1,0.6303780072721942,0.442482650912248,0.7851419572285969,0.4005991128521228,0.18900999091734783,0.7851419572285969,0
2,0.6019515954214951,0.4310969179796596,0.7838859685016341,0.3083383323335333,0.18850136239782012,0.7851419572285969,1
3,0.6046138504455829,0.46967159864562813,0.7974267525923315,0.4816801527411583,0.20712079927338778,0.7974267525923315,0
4,0.5889156627243963,0.5054347860125895,0.7664418888303863,0.44076861366848763,0.26592188919164395,0.7974267525923315,1
5,0.5958015898178364,0.5364312550983511,0.7692142707362549,0.4672575565728385,0.2980744777475023,0.7974267525923315,2
6,0.5879450874081973,0.5263323319474476,0.7900048581453656,0.5085275192103454,0.2858128973660309,0.7974267525923315,3
7,0.5856186391978428,0.48192165828959793,0.7508354494539065,0.4309001915301128,0.24288828337874657,0.7974267525923315,4
8,0.5860366782237744,0.4510343010135134,0.7763751949322234,0.46226415094339623,0.22779291553133518,0.7974267525923315,5
9,0.5872811601079744,0.4915169752496588,0.757090621635492,0.4630676949443016,0.2276475930971844,0.7974267525923315,6
10,0.5744419058849072,0.44178228050561563,0.7765736849467695,0.44277730225064194,0.20103542234332428,0.7974267525923315,7
11,0.5680076068845289,0.4967922387276288,0.7743325386682232,0.48279895417641394,0.27309718437783836,0.7974267525923315,8
12,0.5693756228890913,0.48153796512484703,0.77116090542523,0.4808700718586133,0.2427792915531335,0.7974267525923315,9
13,0.5582947696077413,0.46064530437401086,0.743628161168749,0.42468415937803694,0.21507720254314255,0.7974267525923315,10
