Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6339231345751514,0.53528047135007,0.7089011646237471,0.41044146592932795,0.25110281642348153,0.7089011646237471,0
1,0.5959933665517259,0.5184222770364786,0.7537062233871569,0.4775146053167882,0.23028403760554106,0.7537062233871569,0
2,0.5814865192730133,0.4791168864069466,0.764713412223945,0.3862403471823345,0.19195991935966783,0.764713412223945,0
3,0.5730295893672395,0.49429931959356177,0.7522301768510845,0.45058349685014976,0.21237948861254718,0.764713412223945,1
4,0.5568140896215831,0.454798282626041,0.7760677178028301,0.3997496871088861,0.19146090740334143,0.7760677178028301,0
5,0.5433749809657058,0.5180493760800482,0.7436277966758885,0.46110313371061745,0.25469570250903206,0.7760677178028301,1
6,0.5376999921178165,0.4959899663537417,0.7314157590242049,0.41512963059178054,0.22469510369468448,0.7760677178028301,2
7,0.5272313329863222,0.46887903555806626,0.738710166249697,0.3540771195415187,0.20697019900596814,0.7760677178028301,3
8,0.5260316080426517,0.49456200591499033,0.7457219940226915,0.44645186222887784,0.22872712030180242,0.7760677178028301,4
9,0.5161016324203308,0.4526152102321881,0.7574248601227771,0.3615546084854653,0.20034332022595258,0.7760677178028301,5
10,0.5068964988809742,0.49942148932211794,0.7431859796621154,0.4496418399930957,0.25457593963951375,0.7760677178028301,6
11,0.4914558609462764,0.457307789515761,0.756527218649772,0.3874888293118856,0.20521367691969905,0.7760677178028301,7
12,0.4870100186703956,0.47443365414271854,0.7517606467944183,0.43379162528098697,0.21619193995888142,0.7760677178028301,8
13,0.47909025215122797,0.4924031601206841,0.7540502343676558,0.46131519274376415,0.23709056068983414,0.7760677178028301,9
14,0.48515266649527095,0.4556542422630174,0.7561361266509505,0.3996678332048164,0.20202000039920953,0.7760677178028301,10
