Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.856,0.524,0.515,0.425,0.158,0.731,0.467,0.574,0.525,0.443
caid3/binding,0.898,0.723,0.577,0.496,0.193,0.805,0.451,0.801,0.656,0.632
caid3/binding_idr,0.45,0.356,0.464,-0.068,0.573,0.467,0.364,0.643,0.559,0.054
