Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6609237009370831,0.3860560380530977,0.8384019929632862,0.4250138909935849,0.16010520837728737,0.8384019929632862,0
1,0.6178340989519173,0.39772886957098924,0.8452458054208012,0.4898967757363198,0.18002166054826507,0.8452458054208012,0
2,0.600770943811242,0.4165277077022581,0.8338756973240579,0.4386568220896126,0.15612473100130808,0.8452458054208012,1
3,0.5866741491875178,0.3568439513623453,0.8552476097874477,0.3738816140309297,0.148627930855029,0.8552476097874477,0
4,0.572247831964157,0.3745073348868045,0.8494985963972601,0.46373460668509675,0.15006259054531135,0.8552476097874477,1
5,0.5661794270428133,0.3476892047916714,0.8438728879837009,0.4072559746616758,0.14477404109878056,0.8552476097874477,2
6,0.5555766814611327,0.3698418702260431,0.8547723125710193,0.4992013144082881,0.1543384390339958,0.8552476097874477,3
7,0.5538891266349336,0.37330832748932047,0.8558562032061587,0.5151710781149128,0.15844550402970592,0.8558562032061587,0
8,0.5417828574566774,0.3743179343600148,0.8465546196095437,0.45894858352171614,0.1582204593724067,0.8558562032061587,1
9,0.5461984306154116,0.3627910593918145,0.8369626262849095,0.41011846257306916,0.16038651419891137,0.8558562032061587,2
10,0.5393094483395697,0.36289517111673075,0.8124871628643315,0.3549348230912477,0.14616650491581928,0.8558562032061587,3
11,0.5333692104044095,0.44160529755644373,0.7760470122115771,0.39718335787923414,0.18422718258154358,0.8558562032061587,4
12,0.5280570950306637,0.4105855636866587,0.8157936718600324,0.4357337339216975,0.1690647987960111,0.8558562032061587,5
13,0.519497232118123,0.3904347852794336,0.8135938871979871,0.41086832997572187,0.1604146447810737,0.8558562032061587,6
14,0.49546679602542393,0.3476337153154604,0.8402460517223833,0.452843662331038,0.1508783774280209,0.8558562032061587,7
15,0.5030383329156419,0.37065963459207024,0.8181297961105224,0.4248074584515606,0.1596691843537702,0.8558562032061587,8
16,0.4835840807834142,0.3477383892854366,0.8323847575455459,0.4276224150862531,0.1502735699115293,0.8558562032061587,9
17,0.480383393000549,0.3786675976351986,0.8377288542975514,0.48001399457710137,0.16723631095545521,0.8558562032061587,10
