Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6839943631251055,0.5720240625574338,0.6693683824295247,0.42550100414476777,0.29855220500066615,0.6693683824295247,0
1,0.5980318305187655,0.5527252331892191,0.6315702389509045,0.3072494111489139,0.29388906159790384,0.6693683824295247,1
2,0.5889122645209607,0.568676570155633,0.6345108700222019,0.3241303697797269,0.30115024203934804,0.6693683824295247,2
3,0.5836108887105956,0.5652001963678556,0.6453716680843421,0.33547551437254025,0.2961984278545099,0.6693683824295247,3
4,0.5747255033120177,0.5660430579026086,0.6306478011568097,0.32277112880265724,0.2852289381356309,0.6693683824295247,4
5,0.5664482475223398,0.5560975695604568,0.6372520385320708,0.29405490372200077,0.27923346804636495,0.6693683824295247,5
6,0.5680044860319984,0.5879808545628725,0.64310209247549,0.3595681860121794,0.3082559843673669,0.6693683824295247,6
7,0.5517868558715161,0.5658584103969192,0.641773011944238,0.2958074975823426,0.2748812008704534,0.6693683824295247,7
8,0.540196195356828,0.6042063226225268,0.6505374750084953,0.412082335268564,0.3215570457876271,0.6693683824295247,8
9,0.5336060315594637,0.5514997612528642,0.6446295578769781,0.22198420136564467,0.2580716791757339,0.6693683824295247,9
10,0.542910471446532,0.5693503302181235,0.6363675567695208,0.28306290919442073,0.27963316605231603,0.6693683824295247,10
11,0.5213724654868133,0.601110966984128,0.652181468397834,0.37379132516806335,0.3019940489408003,0.6693683824295247,11
12,0.5217990628758767,0.5950930232426969,0.644663648794987,0.39363700889315684,0.32248967446817955,0.6693683824295247,12
13,0.5021282898304158,0.5652820872905917,0.6525532144010711,0.3188685675337953,0.2662876937425057,0.6693683824295247,13
14,0.48858431497014554,0.5996661964914559,0.63379975359691,0.3474969243872433,0.3062130834480614,0.6693683824295247,14
15,0.4853671641278088,0.572838773099986,0.6406946242464991,0.260694514343231,0.26095838699649154,0.6693683824295247,15
