Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.669,0.329,0.426,0.231,0.299,0.625,0.379,0.485,0.469,0.381
test,0.761,0.396,0.45,0.302,0.3,0.688,0.339,0.668,0.453,0.47
caid3/binding,0.795,0.417,0.494,0.393,0.26,0.753,0.362,0.774,0.519,0.643
caid3/binding_idr,0.515,0.404,0.508,0.016,0.542,0.508,0.391,0.725,0.557,0.028
