Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.788,0.353,0.395,0.274,0.274,0.679,0.292,0.613,0.399,0.48
test,0.735,0.323,0.443,0.294,0.27,0.674,0.356,0.587,0.444,0.518
caid3/binding,0.827,0.472,0.511,0.405,0.214,0.744,0.409,0.681,0.54,0.594
caid3/binding_idr,0.605,0.46,0.511,0.135,0.435,0.569,0.452,0.588,0.557,0.081
