Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6655088376281852,0.519747247147459,0.7875362996676872,0.3953263906527813,0.27431323746312686,0.7875362996676872,0
1,0.6053331386774106,0.4378596110393741,0.7424721632034089,0.35498571097551557,0.19245483038348088,0.7875362996676872,1
2,0.589139466671119,0.46104073500814285,0.7386682839421742,0.34599504541701076,0.1825221238938053,0.7875362996676872,2
3,0.5768056003222788,0.40229670984945587,0.7572157285582064,0.30648747945470367,0.16530696902654862,0.7875362996676872,3
4,0.5892057022205869,0.4286736549667404,0.7452549694649795,0.39065661210226227,0.1527009587020649,0.7875362996676872,4
5,0.5770539054296967,0.4988813360251217,0.7503816045125133,0.39342258084234977,0.22868270648967548,0.7875362996676872,5
6,0.5624321121022218,0.4423853588413453,0.7070038678468544,0.3433338681212899,0.18865228613569318,0.7875362996676872,6
7,0.5481080740017998,0.49763038888031746,0.71089129114654,0.36557652405888746,0.2959531710914455,0.7875362996676872,7
8,0.5543750986120755,0.4586987656911706,0.7261555482422312,0.4041509702182102,0.19319229351032452,0.7875362996676872,8
9,0.5523355865388885,0.5377381785191008,0.7321779061894619,0.38418938913548933,0.33570704277286134,0.7875362996676872,9
10,0.5478210494034272,0.43953615167538107,0.7522893940981483,0.4362650688351523,0.18213034660766958,0.7875362996676872,10
11,0.5393595440047128,0.45144484781506977,0.7303688349936817,0.3642750276458726,0.22522584808259583,0.7875362996676872,11
12,0.5314325230910366,0.6062548356133295,0.7178420355720925,0.3436546334201712,0.4064343657817109,0.7875362996676872,12
13,0.5165724212065675,0.5401094520579066,0.7522735665602776,0.38984762657533045,0.32022031710914456,0.7875362996676872,13
14,0.5081766447178403,0.4378464554669722,0.7399651888634202,0.3347921225382932,0.22418879056047203,0.7875362996676872,14
15,0.506371861337719,0.44019496647224166,0.7367634432700341,0.37028840168753024,0.20983130530973448,0.7875362996676872,15
