Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6735725576308236,0.7126349708530137,0.590772862770836,0.49113811874920876,0.4936293021399404,0.590772862770836,0
1,0.5988629749461786,0.5906582620847524,0.7651279593602718,0.6072539592760181,0.34110097939885176,0.7651279593602718,0
2,0.5972102822652504,0.5437319529396509,0.7517719604200196,0.5782164069128746,0.2899818857265666,0.7651279593602718,1
3,0.5820585171233362,0.562457499273619,0.775238183860266,0.5964844504539308,0.3206840440882994,0.775238183860266,0
4,0.5812217350771178,0.5808460450825448,0.7340322968961048,0.5498986623429266,0.3409167664486813,0.775238183860266,1
5,0.5701268192992281,0.5013693153300351,0.7832411329875347,0.44698608964451314,0.27463080654570016,0.7832411329875347,0
6,0.5649063878539783,0.5271646079409699,0.7926833853051176,0.6150717703349282,0.2963986368241688,0.7926833853051176,0
7,0.5664170838114041,0.5250816216375789,0.768706114046697,0.5055307381408211,0.2854686684473918,0.7926833853051176,1
8,0.5574854383272911,0.5580008455139561,0.7506194231233068,0.4930329083901571,0.31500414479137884,0.7926833853051176,2
9,0.5611828164155803,0.5335875665997695,0.7458956073664256,0.42609836885194674,0.28193792023579256,0.7926833853051176,3
10,0.555137700998961,0.5064689835809328,0.794630186088093,0.5049566645895882,0.26830616192318324,0.794630186088093,0
11,0.5588109844656133,0.5255258742336565,0.7733747331395503,0.5632584739852141,0.2883853734917565,0.794630186088093,1
12,0.5415361399081215,0.5214130666359896,0.7710087419521994,0.41933848688379166,0.28135457922691964,0.794630186088093,2
13,0.5417422627779975,0.5921769000238544,0.6771194054930848,0.53476266101994,0.32378496208283447,0.794630186088093,3
14,0.5395964539762753,0.5561486313949533,0.7580258750107826,0.5252384275412887,0.3133155260814835,0.794630186088093,4
15,0.5495329559294145,0.5055620587994216,0.7923083671802822,0.37520322329822575,0.2713763777593565,0.794630186088093,5
16,0.5546233407152232,0.5407943973335582,0.7437381847835445,0.5293035740915644,0.2907187375272482,0.794630186088093,6
17,0.5179627766804908,0.5354681002619505,0.7698338811012548,0.5739246712725652,0.2934819317798041,0.794630186088093,7
18,0.5083892770222763,0.5825852942913734,0.7401026219613476,0.5652413575872116,0.33901323263025396,0.794630186088093,8
19,0.5146117621838157,0.5121873517844127,0.7536678467924032,0.4972744465457782,0.27748610727334133,0.794630186088093,9
20,0.49284430515410294,0.5217917078091856,0.7754456445305818,0.5376879418500448,0.285100242547051,0.794630186088093,10
21,0.49848018697838287,0.5214667293966532,0.7538827442508989,0.4631317315658658,0.27852998065764023,0.794630186088093,11
22,0.48432064523447804,0.4885855166567787,0.8056689561334576,0.5841,0.25538055325289366,0.8056689561334576,0
23,0.47018343276941954,0.5134156150894317,0.7823634776716535,0.4041443759734543,0.27014829142488717,0.8056689561334576,1
24,0.4816859633620106,0.5216030181307356,0.7679011097543315,0.5396557186608935,0.2676614165975868,0.8056689561334576,2
25,0.4760196155576564,0.5360829254980213,0.7605574693799093,0.416480642898144,0.28089404685149366,0.8056689561334576,3
26,0.45118095025197785,0.539630647340376,0.7916802124806672,0.5688951319081691,0.3015258972705781,0.8056689561334576,4
27,0.4571749195456505,0.5047857913197557,0.8016749612245029,0.5427161509201193,0.2731264007859753,0.8056689561334576,5
28,0.45465695435431464,0.5285521548654691,0.7843783064909905,0.5313181518486585,0.2837186454207731,0.8056689561334576,6
29,0.4370390798396139,0.5113970871891198,0.7956821212050067,0.5524407180700581,0.2671394799054374,0.8056689561334576,7
30,0.42148829329369675,0.5376214797797872,0.7731860084271582,0.4511105746016417,0.2792054281415983,0.8056689561334576,8
31,0.41959376933414544,0.5253264982848498,0.7889814805288926,0.5567458312278929,0.2693193331491204,0.8056689561334576,9
32,0.4111090699460969,0.5250970375432412,0.7826047721010222,0.535647729087908,0.267753523072672,0.8056689561334576,10
33,0.41370745570357165,0.5397910916057771,0.7631667554332959,0.5168022260273972,0.27724049000644746,0.8056689561334576,11
34,0.418043856967741,0.5174238534136159,0.7800577567833049,0.5772833166928161,0.2729728899941666,0.8056689561334576,12
35,0.3961772103585414,0.5222922401637141,0.7766839192238622,0.5522463915429966,0.2704860151668662,0.8056689561334576,13
36,0.39494477468195244,0.514851587370473,0.7848563295179071,0.5646322689576402,0.2691658223573117,0.8056689561334576,14
37,0.37471774264947694,0.5453070377136676,0.761785957321497,0.5371214423174314,0.28061772742623803,0.8056689561334576,15
