Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.806,0.644,0.584,0.4,0.255,0.698,0.592,0.576,0.622,0.353
test,0.79,0.439,0.474,0.338,0.232,0.691,0.405,0.57,0.482,0.317
caid3/binding,0.879,0.633,0.566,0.474,0.177,0.775,0.473,0.704,0.585,0.634
caid3/binding_idr,0.542,0.412,0.462,0.012,0.507,0.506,0.391,0.562,0.559,0.011
