Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.825,0.516,0.452,0.394,0.139,0.658,0.602,0.362,0.507,0.196
caid3/binding,0.962,0.857,0.791,0.751,0.067,0.87,0.806,0.776,0.795,0.438
caid3/binding_idr,0.718,0.526,0.579,0.297,0.339,0.65,0.557,0.601,0.673,0.199
