Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6774655754919405,0.5396948318435207,0.675402544204609,0.4178065638745227,0.3016302306363158,0.675402544204609,0
1,0.6010837892691294,0.5066561661313664,0.6779616870373114,0.3870921783729876,0.21546089700247917,0.6779616870373114,0
2,0.5975515041086409,0.5745219612708286,0.6972625376689161,0.4607325419289426,0.31966043122229737,0.6972625376689161,0
3,0.5898372842205896,0.46839396086579654,0.7280755090294136,0.42129221732745964,0.19738061252598105,0.7280755090294136,0
4,0.5740471744978869,0.5242405952072332,0.7122552473543076,0.46877466196664386,0.2528485212731325,0.7280755090294136,1
5,0.5663289513852862,0.4434297984423607,0.7496892563938002,0.3891766524932354,0.1978564094858889,0.7496892563938002,0
6,0.5655164171148229,0.5662384896939516,0.7355559107866811,0.47245691111862115,0.3127238123857461,0.7496892563938002,1
7,0.5754398692537237,0.43855481440476024,0.7526892627423102,0.4136013347104155,0.18483459795156887,0.7526892627423102,0
8,0.5585020970415187,0.45991001527391534,0.7255675162881821,0.41227880101119535,0.20376630856684952,0.7526892627423102,1
9,0.5628965856852355,0.6763900065576681,0.6749185398643226,0.42575920451491533,0.42806701224551125,0.7526892627423102,2
10,0.5645292266651436,0.5395490563435791,0.7229004221988149,0.4625641025641026,0.3149275035684772,0.7526892627423102,3
11,0.5548614901525003,0.5399763064507659,0.6719390332305879,0.443187859455802,0.2885082513209626,0.7526892627423102,4
12,0.5553080278414267,0.4923785521263758,0.6868006228706313,0.4483502538071066,0.2177146720757268,0.7526892627423102,5
13,0.5458153817388747,0.6665885570350488,0.7243144505142161,0.44032131940001423,0.39431047003731245,0.7526892627423102,6
14,0.5304615839763924,0.4924533545106384,0.733543457693661,0.4582501467997651,0.23103698695314656,0.7526892627423102,7
15,0.5149148731319992,0.5257969751200551,0.7436326920542051,0.46894482726292597,0.2837001978313676,0.7526892627423102,8
16,0.5136493025002656,0.47626595362868474,0.6906920937686691,0.43041438623924944,0.2189166854481256,0.7526892627423102,9
17,0.49328328602843813,0.4584485466297431,0.7323235047982952,0.44523293251856233,0.21142914381589162,0.7526892627423102,10
18,0.5016410933600531,0.4870857820574318,0.7046172270677423,0.43593212001967535,0.2297348057997145,0.7526892627423102,11
19,0.48844763724892226,0.5934155064936791,0.6583995187305912,0.4109577109010932,0.3386923096186112,0.7526892627423102,12
20,0.47292092861952606,0.521651526306857,0.716670744384383,0.4478947652164537,0.25645456139032885,0.7526892627423102,13
21,0.47867725866812244,0.5584863608879715,0.6884998841724188,0.4332804003657187,0.2949189893070894,0.7526892627423102,14
22,0.4626380269174223,0.5080117312080312,0.6936422937663654,0.4316505955757232,0.2509202914882428,0.7526892627423102,15
