Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6654685888126606,0.40436786793192525,0.6459040334954268,0.2779014308426073,0.13972160270706757,0.6459040334954268,0
1,0.6103978534691207,0.40899703423419276,0.7527898358939652,0.3647201356917858,0.20163039298623397,0.7527898358939652,0
2,0.5945830781951206,0.44424670946261363,0.7557764989560454,0.3910939879939074,0.20905944781973396,0.7557764989560454,0
3,0.5839111245315494,0.481693334113229,0.5954306784378178,0.29662447257383967,0.2051218949473198,0.7557764989560454,1
4,0.5726150155977439,0.5439096053692835,0.7633053925347096,0.3685749561375008,0.29891563485349537,0.7633053925347096,0
5,0.5841223633926333,0.42033567853369586,0.7571099398915656,0.3497191011235955,0.1709144043682227,0.7633053925347096,1
6,0.5710695818180346,0.4984764475753535,0.738518274717483,0.36292530308955806,0.22550180727524416,0.7633053925347096,2
7,0.5747221724222634,0.4969426705084322,0.772143108377563,0.3606989075121882,0.2763208490348381,0.772143108377563,0
8,0.564841901755515,0.39168299674482715,0.7495243157849258,0.34308739018429224,0.15296470045374144,0.772143108377563,1
9,0.560270017339983,0.3828333477428578,0.7662162135060918,0.3691767129096747,0.1601630392986234,0.772143108377563,2
10,0.5535473323050346,0.3786251636927372,0.7673393998417452,0.38183581908572817,0.15682534799661618,0.772143108377563,3
11,0.5428421633844157,0.416836299274532,0.7624794644351269,0.35834199970286734,0.1992924709682381,0.772143108377563,4
12,0.5444985173130763,0.39805231894335275,0.7303882680139772,0.30924038145346927,0.1615473352303315,0.772143108377563,5
13,0.5462761462189769,0.5024098482429358,0.7054641017674931,0.33368398905954133,0.24355917865108057,0.772143108377563,6
14,0.5113060952142905,0.5114822625752041,0.6861509836662173,0.31057144100622364,0.24365146504652768,0.772143108377563,7
15,0.5112919942795775,0.37146225978932756,0.7612987378369477,0.3615089514066496,0.153595324155964,0.772143108377563,8
16,0.5075297128153211,0.4146056188469593,0.7372328422468022,0.3468767701735414,0.19507805890948238,0.772143108377563,9
17,0.49562776589211616,0.34776267046375386,0.742134047847669,0.3178242301640818,0.1400446050911328,0.772143108377563,10
18,0.48897669470037214,0.4063630373733844,0.7633268567817406,0.36362736362736364,0.1977389833115435,0.772143108377563,11
19,0.48110132965877767,0.3793735318390896,0.7478666955092057,0.36109320613639295,0.15245712527878186,0.772143108377563,12
20,0.4520361403017554,0.45938261280304765,0.7414928739910462,0.3500929450296539,0.22585557179112514,0.772143108377563,13
21,0.4571785093036317,0.42536134080728516,0.7560884843106359,0.35589118017233035,0.20466046297008378,0.772143108377563,14
22,0.46450064905727184,0.3810844077614479,0.7597099712658671,0.36997072834758654,0.16883796047066058,0.772143108377563,15
