Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.772,0.332,0.361,0.274,0.276,0.698,0.248,0.664,0.369,0.632
test,0.767,0.379,0.468,0.333,0.314,0.712,0.339,0.752,0.47,0.464
caid3/binding,0.833,0.571,0.469,0.373,0.311,0.749,0.326,0.838,0.542,0.708
caid3/binding_idr,0.527,0.421,0.526,-0.032,0.594,0.489,0.38,0.855,0.559,0.036
