Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.817,0.426,0.417,0.358,0.139,0.644,0.554,0.334,0.499,0.334
test,0.784,0.407,0.373,0.264,0.198,0.616,0.445,0.321,0.478,0.32
caid3/binding,0.839,0.548,0.528,0.445,0.144,0.71,0.57,0.492,0.537,0.449
caid3/binding_idr,0.482,0.39,0.348,0.021,0.444,0.51,0.402,0.306,0.558,0.015
