Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6732193761146985,0.453066404442172,0.7164655899821495,0.3648850733868734,0.16351295469777127,0.7164655899821495,0
1,0.6124682376017937,0.4495531759107142,0.719836993351261,0.4415762869902341,0.16225812431376463,0.719836993351261,0
2,0.5856832550122187,0.4386780856187408,0.7376629607016563,0.4529651882768426,0.1700722953414422,0.7376629607016563,0
3,0.5846402262265865,0.4248431395570642,0.7530175384869999,0.4447822675559043,0.1614453364513967,0.7530175384869999,0
4,0.5737188208561678,0.33692072741467427,0.8172345783970283,0.4167664670658683,0.13888690841164142,0.8172345783970283,0
5,0.5769761612782112,0.4903712479459686,0.7923367513332822,0.49021016144646035,0.2327852956694092,0.8172345783970283,1
6,0.5646154914910977,0.33704021437083315,0.7956139310294482,0.3351970005919884,0.14412012149039632,0.8172345783970283,2
7,0.564215280688726,0.4499931065654586,0.7958837905611458,0.4674490524145587,0.19153274679519172,0.8172345783970283,3
8,0.5684698636715229,0.3903885428586616,0.7740926381995649,0.4469028705102588,0.16183034122830786,0.8172345783970283,4
9,0.561822481568043,0.48233330825914755,0.721226196485185,0.4324961679047282,0.20589199903035837,0.8172345783970283,5
10,0.5458984780770082,0.5950170254449948,0.7462848954106782,0.37823301061690284,0.3791298892041809,0.8172345783970283,6
11,0.5421776980161667,0.49951126564227555,0.7664739342488951,0.42094832862180515,0.2833207374980393,0.8172345783970283,7
12,0.5317239743012648,0.391478491556875,0.7992516860039256,0.4870195394917897,0.15947753425829547,0.8172345783970283,8
13,0.5234944808941621,0.3925025932453171,0.7453114715763178,0.3671393864060116,0.15971994467338757,0.8172345783970283,9
14,0.5097360670566559,0.4742954671106471,0.7284755882988593,0.39776664087988967,0.2553152048368007,0.8172345783970283,10
15,0.5085826626190773,0.40491795525257573,0.7440762265382428,0.39359654476315664,0.18418913716151664,0.8172345783970283,11
16,0.5058289819038831,0.40219374272044955,0.7899932612124257,0.4612624107819291,0.19265924225356135,0.8172345783970283,12
17,0.49650789086635294,0.3732375174580088,0.7262777269583965,0.3325398714591764,0.159933836216116,0.8172345783970283,13
18,0.4714069588826253,0.3478420136758296,0.8037453484768231,0.44657741854003535,0.1562121233726419,0.8172345783970283,14
19,0.4711832330777095,0.35954854561455546,0.7876653702708523,0.42569511025886864,0.1622866431861284,0.8172345783970283,15
