Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6668934968053079,0.5423249671086096,0.7639683340127228,0.5450920910075839,0.24062442692096098,0.7639683340127228,0
1,0.6104873080237382,0.49695252927056394,0.753461331668092,0.48119113417178955,0.2108701632129103,0.7639683340127228,1
2,0.612879064010114,0.5351724969895935,0.7005969700926753,0.37879716849673933,0.25547863561342377,0.7639683340127228,2
3,0.6007806253271039,0.5217240389380474,0.7387332514792682,0.469389854923346,0.23642948835503397,0.7639683340127228,3
4,0.5967314658927269,0.5060316446637868,0.7487771892222825,0.4801370241449804,0.2156840271410233,0.7639683340127228,4
5,0.5883938718815239,0.5145448352825641,0.72471294937738,0.4354498594189316,0.2209334311388227,0.7639683340127228,5
6,0.580559282278528,0.5510976770868833,0.7154407498678618,0.49122807017543857,0.2652439024390244,0.7639683340127228,6
7,0.5755561801041065,0.5425704702175539,0.7410425077578623,0.5185695227438998,0.2564414083990464,0.7639683340127228,7
8,0.5691580097286069,0.5377824731235337,0.736331538122943,0.4964808297832932,0.24926645883000187,0.7639683340127228,8
9,0.5748283567071772,0.51931477760364,0.734634901180814,0.5019239418319924,0.22847515129286633,0.7639683340127228,9
10,0.5593526519480205,0.5193870667030753,0.7260189810019697,0.45844088797108934,0.24046396479002385,0.7639683340127228,10
