Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6101251336401456,0.48885932638392043,0.7801859337169263,0.4665466700951401,0.21421638477582972,0.7801859337169263,0
1,0.5919904976266704,0.48230229987789636,0.7831208613575518,0.49234451735380297,0.25403217479297024,0.7831208613575518,0
2,0.5822405225201829,0.5147871497217326,0.7943416291029142,0.5116279069767442,0.27581934204820024,0.7943416291029142,0
3,0.5751680205129597,0.4433496521276966,0.8059576634104884,0.497655368908411,0.17477231893934697,0.8059576634104884,0
4,0.552306152369878,0.48629707765393515,0.7951294502694061,0.5195271096616388,0.24339673295747888,0.8059576634104884,1
5,0.5464618632646456,0.4656759293708085,0.7906004739917225,0.498973212248437,0.2267310988579807,0.8059576634104884,2
6,0.5453374716517043,0.49879794172918945,0.7859464093076068,0.5125834617360041,0.2743737480123082,0.8059576634104884,3
7,0.5453457336311471,0.4546379240189421,0.787850883071504,0.4758663073795679,0.2289614439419284,0.8059576634104884,4
8,0.5364580236069144,0.4419393592065974,0.7979835835101462,0.4974770878385336,0.20155711129008946,0.8059576634104884,5
9,0.5337616184802905,0.4495164470661619,0.7960919131661377,0.5033288948069241,0.2310885323090267,0.8059576634104884,6
10,0.5206014589495855,0.4736860866922526,0.7841574171396264,0.4913834266614577,0.24197179026495674,0.8059576634104884,7
11,0.5116538605461382,0.4400410394801635,0.7872775508668468,0.4855318299740571,0.21295665283026666,0.8059576634104884,8
12,0.5124859985423414,0.43137177404102095,0.7857426702021402,0.45621136699305287,0.2052950044400388,0.8059576634104884,9
13,0.50092949646793,0.42297840139068366,0.7945940449793115,0.4757528786536758,0.1955682217128224,0.8059576634104884,10
