Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6729653443802487,0.4826090303707035,0.7222742686010284,0.40762164001361006,0.21039274924471296,0.7222742686010284,0
1,0.600580343694398,0.5055750303182172,0.734930315326093,0.48610354223433244,0.2507069486404834,0.734930315326093,0
2,0.5910576749028582,0.45478961741002905,0.7578557659983591,0.39225984796129926,0.21254380664652572,0.7578557659983591,0
3,0.5814754538463823,0.47577669941701356,0.7697146926957412,0.4670225961279189,0.2388640483383686,0.7697146926957412,0
4,0.5819144097693039,0.44463814328203505,0.7089395301825047,0.17001381362235682,0.18878549848942594,0.7697146926957412,1
5,0.586599680284659,0.48018925096148196,0.7284953108003642,0.4027912621359223,0.2378731117824774,0.7697146926957412,2
6,0.5695364123040979,0.4673331106760109,0.7686731470410813,0.47709768950141873,0.24942598187311182,0.7697146926957412,3
7,0.565616685332674,0.4804413030736151,0.7614561586021669,0.4539641328910044,0.2744894259818731,0.7697146926957412,4
8,0.550442420397744,0.4988447341258362,0.742074682140514,0.47922926503553204,0.26390332326283983,0.7697146926957412,5
9,0.5726183318730557,0.6149094754920759,0.7301698477899203,0.4743893928820656,0.3640845921450151,0.7697146926957412,6
10,0.5339376797730272,0.4796653629227686,0.7416539118569598,0.4455735180908391,0.2610996978851964,0.7697146926957412,7
11,0.5368607457388531,0.5341328128462669,0.7519240368290272,0.47705744864066923,0.3082296072507553,0.7697146926957412,8
12,0.5367724780331958,0.4914058617707659,0.730649520397332,0.4464294777445059,0.2636132930513595,0.7697146926957412,9
13,0.5226481252095916,0.4661819101981127,0.7179555892232509,0.36824128375330284,0.23693051359516615,0.7697146926957412,10
14,0.5223854649247546,0.4736758785747994,0.7506442789791719,0.4662487696213024,0.24901510574018126,0.7697146926957412,11
15,0.526688720918063,0.4654295362727245,0.709511358780589,0.39061354192129066,0.24101510574018126,0.7697146926957412,12
16,0.49317318280086375,0.49873889334092336,0.7405118138770637,0.45905707196029777,0.28451963746223563,0.7697146926957412,13
17,0.4862731218789563,0.46234629471537464,0.7317124660700118,0.432984980869168,0.23997583081570995,0.7697146926957412,14
18,0.4751791452819651,0.48647972859313665,0.7124920449326545,0.4161811586237221,0.25672507552870094,0.7697146926957412,15
