Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.77,0.424,0.467,0.317,0.239,0.669,0.428,0.514,0.485,0.381
test,0.767,0.378,0.451,0.309,0.242,0.675,0.386,0.544,0.475,0.42
caid3/binding,0.778,0.413,0.559,0.468,0.191,0.78,0.45,0.736,0.563,0.509
caid3/binding_idr,0.495,0.39,0.464,-0.006,0.523,0.497,0.384,0.586,0.557,0.042
