Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.6395750549966341,0.5379182084332453,0.7044234731965564,0.41320615345087836,0.33699762067248284,0.7044234731965564,0
1,0.602254308862229,0.50627228616459,0.7528825083327878,0.4082953626027339,0.2562849290812844,0.7528825083327878,0
2,0.5924227107061099,0.5007538259772468,0.7495713306538462,0.4120088075880759,0.2561189294870613,0.7528825083327878,1
3,0.5907428534063575,0.47952436443251184,0.7589919554230107,0.41488357457520453,0.27437888485161477,0.7589919554230107,0
4,0.5880495015888998,0.4682212528520104,0.7442170749893748,0.36293149229952204,0.22125901470018627,0.7589919554230107,1
5,0.5771849275860068,0.5618526692677802,0.7264972801934225,0.4030757546990697,0.3479351494918568,0.7589919554230107,2
6,0.5684320338784832,0.4959911408661855,0.7610880479556745,0.4315737089920759,0.2738808860689451,0.7610880479556745,0
7,0.5718179812578306,0.4387463425643639,0.7339592637559855,0.2689689761410045,0.1881882066510504,0.7610880479556745,1
8,0.5657916146598451,0.5072139584640463,0.7336853380248806,0.4025187121302127,0.27827065311618127,0.7610880479556745,2
9,0.5482921845292392,0.5340039181847572,0.7220076603378762,0.38920637323543883,0.29767416124093915,0.7610880479556745,3
10,0.5496342792494656,0.4908123000205612,0.7167856656147157,0.33654530782740777,0.25779736982865153,0.7610880479556745,4
11,0.5572993681855398,0.48360810694005807,0.7404512670470018,0.3893650661562786,0.27069000497998785,0.7610880479556745,5
12,0.5354320063982925,0.4925475919213999,0.7414172452025174,0.3968011290132894,0.2838039729236217,0.7610880479556745,6
13,0.5243980374238263,0.48470176772214335,0.743633447307902,0.40540765391014977,0.2636442444251803,0.7610880479556745,7
14,0.5331265326232126,0.4822850885172258,0.732304495575139,0.3821155755038626,0.2640684656104174,0.7610880479556745,8
15,0.5144502538932513,0.5360370586896505,0.7126086661065084,0.37338090990187334,0.32390209712820706,0.7610880479556745,9
16,0.5009686373276253,0.5119132057111793,0.7237860062172736,0.3779895151723874,0.29981371156648284,0.7610880479556745,10
