Dataset,auc,aps,f1,mcc,err,balanced_acc,precision,recall,f_max,optimal_threshold
dev,0.799,0.473,0.46,0.328,0.212,0.663,0.465,0.456,0.515,0.277
test,0.772,0.423,0.445,0.303,0.237,0.668,0.39,0.518,0.466,0.281
caid3/binding,0.885,0.675,0.606,0.525,0.157,0.8,0.516,0.736,0.63,0.665
caid3/binding_idr,0.608,0.492,0.496,0.095,0.46,0.549,0.43,0.587,0.562,0.011
