Ep,Train loss,Dev Loss,Dev AUC,Dev APS,Dev error,Best AUC,Counter
0,0.663195103181131,0.5235457314532704,0.7099606870993616,0.48701960304845743,0.2558541344824783,0.7099606870993616,0
1,0.6051363816315477,0.4822102406366569,0.6963160230588028,0.4494302355026589,0.22097324985771205,0.7099606870993616,1
2,0.587120449226914,0.48318081271266794,0.760423065917963,0.5151914368052697,0.23936905439466627,0.760423065917963,0
3,0.5917906345743121,0.48852880459854275,0.6790346055354954,0.4961862705740666,0.22959183673469385,0.760423065917963,1
4,0.5775797188733564,0.436585456087307,0.7259062146728249,0.440500338066261,0.201845678510448,0.760423065917963,2
5,0.5725269310853698,0.5321881147062149,0.7135046907343326,0.5034627037945463,0.2798194975201236,0.760423065917963,3
6,0.5542494498870589,0.49104453669270365,0.7432132400117766,0.4943811425662712,0.26248068948695014,0.760423065917963,4
7,0.5575526693102085,0.5065797980883863,0.6388304011337967,0.41931942919868276,0.25806976176924956,0.760423065917963,5
8,0.5656552678256324,0.46437067810006866,0.7016355512074793,0.4173014713555254,0.22701032604276772,0.760423065917963,6
9,0.552383404789549,0.4393974238035186,0.7002408930071631,0.36620619084164746,0.2014391413936092,0.760423065917963,7
10,0.5347600802779198,0.4477650270734467,0.7094060820051404,0.3385490753911807,0.2268477111960322,0.760423065917963,8
11,0.54280063374476,0.5082737564216784,0.733554765870829,0.47266770789684204,0.2813846654199529,0.760423065917963,9
12,0.5393047014420683,0.45255545171341155,0.7198560659663973,0.3912,0.21656232214001137,0.760423065917963,10
13,0.5195773234873107,0.4907191672164008,0.7125774257624755,0.4441259571680111,0.2759370680543134,0.760423065917963,11
14,0.5131012208082459,0.4319347248782169,0.744879834014861,0.45404489623041083,0.20961053744206848,0.760423065917963,12
15,0.4979132091005643,0.4295345005491082,0.7329451805110232,0.3976481881449484,0.20408163265306123,0.760423065917963,13
16,0.48961855696909357,0.4454744924487531,0.7483025118667448,0.4097990759643279,0.2233108382795349,0.760423065917963,14
17,0.48986093248381757,0.46747810744934115,0.7751479698461043,0.49725285906149524,0.2510976502154647,0.7751479698461043,0
18,0.47164071780262573,0.4453685785156516,0.7492821405406529,0.45664596273291924,0.2222741686315961,0.7751479698461043,1
19,0.48600917625607865,0.4133093182797491,0.7568127712502035,0.37612355994429675,0.2003414911781446,0.7751479698461043,2
20,0.4762975550962217,0.43789720700660006,0.721501776756906,0.41033743369822817,0.21241564354825593,0.7751479698461043,3
21,0.4718057025562633,0.40843663078588927,0.7620647539204112,0.3812233285917496,0.19452801040735024,0.7751479698461043,4
22,0.467357376082377,0.4487645559529282,0.7527268847017623,0.4633083988258688,0.2304252378242133,0.7751479698461043,5
23,0.44113100681341055,0.439713745716168,0.7345517258728531,0.3895733515856719,0.21753801122042438,0.7751479698461043,6
24,0.433274201371453,0.446935206209546,0.7672042905186811,0.44395258472283705,0.2297951052931133,0.7751479698461043,7
25,0.43504900790073653,0.43545066835517743,0.7668579285964018,0.4272854987252198,0.22373770225221568,0.7751479698461043,8
26,0.43041641513506573,0.42829581997037874,0.7776155929274109,0.4530296034067005,0.21670461013090492,0.7776155929274109,0
27,0.414909825744954,0.43212507637958725,0.7693311636032644,0.4356859805076577,0.21420440686234654,0.7776155929274109,1
28,0.4164356951686469,0.4303946786271635,0.7897015932918253,0.471214320270924,0.22217253435238637,0.7897015932918253,0
29,0.4026834192601117,0.42228926801640676,0.7826457981632341,0.419847758669298,0.20914301975770389,0.7897015932918253,1
30,0.402632486865376,0.43294669096963384,0.7785911430312893,0.4386797540718369,0.2115619156028945,0.7897015932918253,2
31,0.4073964116925543,0.4535109056097245,0.7592149504063008,0.4376036686506001,0.23432799414586547,0.7897015932918253,3
32,0.40314645207289496,0.42698821282774735,0.7717948430290715,0.4049141703130259,0.21562728677128218,0.7897015932918253,4
33,0.3909328358642983,0.46036259996656015,0.7695262590947831,0.46648108428786567,0.23764127164810145,0.7897015932918253,5
34,0.3947127716559352,0.43828373722542535,0.7786972494175611,0.4421188374169229,0.2286364745101228,0.7897015932918253,6
35,0.3913406857261152,0.421080665454648,0.775899459346625,0.3976581067764188,0.2112163590535816,0.7897015932918253,7
36,0.37977309197638975,0.4225647651790987,0.7818104839300137,0.4194402207580109,0.2095495568745427,0.7897015932918253,8
37,0.38396892832084134,0.4401605850791017,0.7750584566497976,0.44356875820955843,0.22387999024310923,0.7897015932918253,9
38,0.37275374500137387,0.4252819066308723,0.7810447181371342,0.43815946916131837,0.20997642084722334,0.7897015932918253,10
39,0.37718467832063185,0.43501636156611184,0.7806075600332557,0.45752944124279626,0.22003821448898286,0.7897015932918253,11
40,0.36748241102605156,0.4343002672680385,0.7859691542730114,0.45992889791772473,0.21615578502317256,0.7897015932918253,12
41,0.3601216690784151,0.4190247009480817,0.7924225352679813,0.43041526374859707,0.20631758679567447,0.7924225352679813,0
42,0.3532229560342702,0.4360348327545749,0.7934637692892623,0.477455871066769,0.22144076754207664,0.7934637692892623,0
43,0.3556964203263774,0.4285163772080486,0.7782848364546865,0.4284463894967177,0.2123749898365721,0.7934637692892623,1
44,0.3581147224388339,0.4253952879413626,0.7869140748867592,0.4311596210316361,0.20869582892918126,0.7934637692892623,2
45,0.35380933535369957,0.44767158852240857,0.7878831464986759,0.4739464493597206,0.2296324904463778,0.7934637692892623,3
